Institution,City,State,Undergraduates,Median Earnings
Westmont College,Santa Barbara,CA,1238.0,63267.0
Whittier College,Whittier,CA,1321.0,60015.0
Woodbury University,Burbank,CA,937.0,58971.0
The Wright Institute,Berkeley,CA,,
Thomas Jefferson School of Law,San Diego,CA,,
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,Los Angeles,CA,142.0,33107.0
Yuba College,Marysville,CA,4153.0,35502.0
The Salon Professional Academy-Grand Junction,Grand Junction,CO,53.0,18807.0
Adams State University,Alamosa,CO,1484.0,38434.0
Aims Community College,Greeley,CO,3392.0,41531.0
Arapahoe Community College,Littleton,CO,5274.0,46421.0
Bel-Rea Institute of Animal Technology,Denver,CO,217.0,34325.0
University of Colorado Denver/Anschutz Medical Campus,Denver,CO,11042.0,60077.0
